Season,Team,rank,points,members,foreign_players,mean_age,salaries,spending,Mean_Player_Rating,Wins,Draws,Losses,Goals_For,Goals_Against,Goal_Difference
2017-2018,Burnley,7.0,54.0,33.0,16.0,25.9,583000,34040000,5.7,14.0,12.0,12.0,36.0,39.0,-3.0
2017-2018,Everton,8.0,49.0,48.0,26.0,23.4,901000,236200000,5.5,13.0,10.0,15.0,44.0,58.0,-14.0
2017-2018,Leicester,9.0,47.0,42.0,23.0,24.0,593000,80900000,5.8,12.0,11.0,15.0,56.0,60.0,-4.0
2017-2018,Newcastle,10.0,44.0,39.0,23.0,23.8,264000,66800000,5.7,12.0,8.0,18.0,39.0,47.0,-8.0
2017-2018,Crystal Palace,11.0,44.0,43.0,22.0,24.0,783000,96900000,5.7,11.0,11.0,16.0,45.0,55.0,-10.0
2017-2018,Bournemouth,12.0,44.0,36.0,12.0,24.4,1150000,45800000,5.5,11.0,11.0,16.0,45.0,61.0,-16.0
2017-2018,West Ham,13.0,42.0,57.0,33.0,23.7,1220000,43100000,5.7,10.0,12.0,16.0,48.0,68.0,-20.0
2017-2018,Watford,14.0,41.0,46.0,32.0,24.4,0,105320000,5.7,11.0,8.0,19.0,44.0,64.0,-20.0
2017-2018,Brighton,15.0,40.0,58.0,33.0,24.6,547000,51900000,5.6,9.0,13.0,16.0,34.0,54.0,-20.0
2017-2018,Huddersfield Town,16.0,37.0,34.0,19.0,24.7,80000,97400000,5.5,9.0,10.0,19.0,28.0,58.0,-30.0
2017-2018,Southampton,17.0,36.0,33.0,19.0,24.3,1720000,122370000,5.9,7.0,15.0,16.0,37.0,56.0,-19.0
2017-2018,Swansea,18.0,33.0,43.0,38.0,24.6,0,79270000,5.4,8.0,9.0,21.0,28.0,56.0,-28.0
2017-2018,Stoke City,19.0,33.0,34.0,26.0,24.9,196000,76100000,5.3,7.0,12.0,19.0,35.0,68.0,-33.0
2017-2018,West Bromwich Albion,20.0,31.0,35.0,16.0,24.7,142000,50800000,5.5,6.0,13.0,19.0,31.0,56.0,-25.0
2018-2019,Manchester City,1.0,98.0,53.0,34.0,21.6,10230000,76300000,6.8,32.0,2.0,4.0,95.0,23.0,72.0
2018-2019,Liverpool,2.0,97.0,57.0,33.0,22.8,9010000,187430000,6.4,30.0,7.0,1.0,89.0,22.0,67.0
2018-2019,Chelsea,3.0,72.0,48.0,30.0,24.1,8650000,252450000,6.4,21.0,9.0,8.0,63.0,39.0,24.0
2018-2019,Tottenham,4.0,71.0,45.0,20.0,22.5,4550000,0,6.2,23.0,2.0,13.0,67.0,39.0,28.0
2018-2019,Arsenal,5.0,70.0,57.0,36.0,23.9,7710000,39000000,6.0,21.0,7.0,10.0,73.0,51.0,22.0
2018-2019,Manchester United,6.0,66.0,39.0,24.0,23.8,8380000,59400000,6.0,19.0,9.0,10.0,65.0,54.0,11.0
2018-2019,Wolverhampton,7.0,57.0,54.0,32.0,22.7,1720000,82600000,5.8,16.0,9.0,13.0,47.0,46.0,1.0
2018-2019,Everton,8.0,54.0,32.0,18.0,24.5,2630000,116750000,5.9,15.0,9.0,14.0,54.0,46.0,8.0
2018-2019,Leicester,9.0,52.0,36.0,23.0,25.0,3250000,28000000,5.8,15.0,7.0,16.0,51.0,48.0,3.0
2018-2019,West Ham,10.0,52.0,34.0,20.0,25.1,2540000,106850000,5.7,15.0,7.0,16.0,52.0,55.0,-3.0
2018-2019,Watford,11.0,50.0,31.0,24.0,25.9,0,14750000,5.7,14.0,8.0,16.0,52.0,59.0,-7.0
2018-2019,Crystal Palace,12.0,49.0,38.0,19.0,24.6,2940000,7500000,5.9,14.0,7.0,17.0,51.0,53.0,-2.0
2018-2019,Newcastle,13.0,45.0,34.0,18.0,24.2,1250000,37960000,5.7,12.0,9.0,17.0,42.0,48.0,-6.0
2018-2019,Bournemouth,14.0,45.0,35.0,11.0,24.0,1590000,74600000,5.8,13.0,6.0,19.0,56.0,70.0,-14.0
2018-2019,Burnley,15.0,40.0,32.0,13.0,26.8,1180000,35800000,5.6,11.0,7.0,20.0,45.0,68.0,-23.0
2018-2019,Southampton,16.0,39.0,37.0,15.0,23.3,1670000,0,5.7,9.0,12.0,17.0,45.0,65.0,-20.0
2018-2019,Brighton,17.0,36.0,37.0,24.0,24.2,903000,63740000,5.5,9.0,9.0,20.0,35.0,60.0,-25.0
2018-2019,Cardiff,18.0,34.0,32.0,29.0,25.8,398000,22500000,5.4,10.0,4.0,24.0,34.0,69.0,-35.0
2018-2019,Fulham,19.0,26.0,41.0,28.0,23.1,142000,34500000,5.5,7.0,5.0,26.0,34.0,81.0,-47.0
2018-2019,Huddersfield Town,20.0,16.0,32.0,21.0,23.8,220000,42290000,5.1,3.0,7.0,28.0,22.0,76.0,-54.0
2019-2020,Liverpool,1.0,99.0,70.0,32.0,21.5,13590000,10400000,6.4,32.0,3.0,3.0,85.0,33.0,52.0
2019-2020,Manchester City,2.0,81.0,60.0,41.0,22.2,11280000,159000000,6.6,26.0,3.0,9.0,102.0,35.0,67.0
2019-2020,Manchester United,3.0,66.0,53.0,29.0,23.2,13900000,212730000,6.0,18.0,12.0,8.0,66.0,36.0,30.0
2019-2020,Chelsea,4.0,66.0,71.0,39.0,23.5,13640000,45000000,6.1,20.0,6.0,12.0,69.0,54.0,15.0
2019-2020,Leicester,5.0,62.0,38.0,20.0,24.7,5550000,103270000,5.9,18.0,8.0,12.0,67.0,41.0,26.0
2019-2020,Tottenham,6.0,59.0,47.0,25.0,22.5,7070000,162000000,5.9,16.0,11.0,11.0,61.0,47.0,14.0
2019-2020,Wolverhampton,7.0,59.0,51.0,32.0,21.1,2920000,114060000,5.9,15.0,14.0,9.0,51.0,40.0,11.0
2019-2020,Arsenal,8.0,56.0,53.0,33.0,23.3,10110000,145000000,5.8,14.0,14.0,10.0,56.0,48.0,8.0
2019-2020,Sheffield United,9.0,54.0,46.0,16.0,24.4,1420000,65900000,5.7,14.0,12.0,12.0,39.0,39.0,0.0
2019-2020,Burnley,10.0,54.0,39.0,14.0,24.8,2630000,26500000,5.5,15.0,9.0,14.0,43.0,50.0,-7.0
2019-2020,Southampton,11.0,52.0,50.0,22.0,23.2,3740000,39040000,5.7,15.0,7.0,16.0,51.0,60.0,-9.0
2019-2020,Everton,12.0,49.0,44.0,25.0,24.3,6050000,123460000,5.7,13.0,10.0,15.0,44.0,56.0,-12.0
2019-2020,Newcastle,13.0,44.0,45.0,20.0,24.3,3660000,68000000,5.5,11.0,11.0,16.0,38.0,58.0,-20.0
2019-2020,Crystal Palace,14.0,43.0,40.0,21.0,24.4,5210000,5800000,5.6,11.0,10.0,17.0,31.0,50.0,-19.0
2019-2020,Brighton,15.0,41.0,53.0,30.0,23.3,1770000,60000000,5.5,9.0,14.0,15.0,39.0,54.0,-15.0
2019-2020,West Ham,16.0,39.0,44.0,22.0,24.6,4520000,107930000,5.8,10.0,9.0,19.0,49.0,62.0,-13.0
2019-2020,Aston Villa,17.0,35.0,44.0,22.0,24.0,3190000,147780000,5.4,9.0,8.0,21.0,41.0,67.0,-26.0
